1396,287
1412,262
1422,242
1433,222
1442,205
1452,185
1461,171
1469,157
1477,153
1488,160
1496,173
1509,178
1522,182
1534,185
1552,184
1581,184
1600,187
1609,186
1630,193
1632,199
1630,210
1620,216
1612,224
1608,237
1605,250
1601,267
1595,284
1588,303
1578,323
1567,342
1557,357
1542,375
1524,393
1505,407
1484,420
1465,431
1445,439
1427,445
1406,446
1387,447
1365,443
1343,437
1324,431
1300,420
1277,408
1256,398
1232,382
1217,374
1198,364
1179,353
1162,344
1142,339
1117,329
1093,318
1067,308
1044,302
1026,294
1006,289
976,281
958,276
933,269
906,263
881,255
859,249
832,243
807,237
779,232
749,229
724,225
699,219
678,215
651,208
631,203
606,195
586,187
564,174
549,172
532,175
525,188
515,191
499,196
484,198
468,194
446,188
437,183
410,177
390,169
364,160
356,159
327,159
299,160
292,158
281,160
286,157
283,156
281,156
284,154
281,156
279,154
279,150
279,146
287,144
272,135
278,135
276,146
289,162
284,173
282,181
273,196
266,210
259,228
252,238
247,268
248,296
249,314
251,332
252,357
252,375
252,396
251,412
253,432
250,456
256,473
260,487
265,508
270,529
278,554
287,573
293,593
302,612
313,629
332,651
347,669
367,689
388,706
405,720
436,736
460,752
483,761
510,767
549,775
571,782
595,789
623,792
646,796
673,801
692,806
708,811
732,813
756,813
783,814
805,817
825,818
846,819
871,820
893,821
910,823
935,826
960,830
985,834
1009,838
1036,841
1060,845
1079,850
1105,858
1127,865
1149,876
1170,886
1183,892
1204,903
1227,917
1248,928
1275,948
1289,948
1307,950
1319,935
1334,927
1350,921
1363,917
1387,907
1405,900
1427,887
1447,875
1467,862
1483,850
1506,833
1527,817
1546,801
1561,785
1580,767
1598,748
1615,729
1628,711
1644,695
1656,677
1663,654
1656,641
1645,628
1635,616
1622,605
1611,596
1598,586
1585,580
1564,573
1541,566
1517,563
1493,562
1469,560
1443,561
1418,562
1395,563
1371,565
1348,567
1321,568
1295,569
1270,571
1248,573
1225,573
1198,574
1176,573
1166,573
1143,574
1144,567
1143,563
1147,559
1148,552
1148,544
1145,535
1139,523
1132,505
1123,490
1114,469
1107,449
1095,423
1087,407
1080,387
1070,368
1058,348
1049,327
1042,310
1033,291
1026,263
1018,242
1008,215
1001,194
995,176
989,164
974,156
969,168
964,165
951,173
943,174
928,178
912,181
889,188
871,191
854,194
831,199
804,207
786,215
763,222
739,224
710,227
686,227
665,227
641,225
621,223
602,220
583,214
560,210
542,201
515,191
499,182
485,174
473,167
467,170
461,174
453,174
454,181
442,178
434,166
428,162
418,168
418,175
414,179
402,181
393,178
375,182
358,183
338,186
315,197
297,206
275,224
266,231
256,248
258,254
263,264
272,280
286,301
310,339
322,360
336,382
354,411
363,429
373,454
378,476
385,497
398,525
408,552
418,579
429,607
440,637
455,663
464,688
475,704
495,731
507,752
524,774
539,794
554,813
566,830
581,852
601,882
617,905
634,928
643,940
653,950
654,941
656,929
671,923
685,911
701,903
717,894
732,881
749,871
771,848
786,831
803,813
817,798
832,777
845,759
865,734
876,713
893,690
900,677
915,661
904,659
905,660
901,654
899,656
892,643
894,642
890,630
885,616
878,597
874,585
866,563
860,541
857,521
853,495
848,474
846,458
852,441
845,412
846,388
849,369
856,343
863,324
871,306
883,288
895,271
906,256
919,243
937,227
952,216
978,196
1002,183
1018,174
1035,168
1058,160
1082,153
1099,148
1120,144
1146,136
1163,135
1193,139
1212,153
1227,163
1245,173
1266,191
1281,209
1295,228
1305,252
1312,272
1316,296
1315,317
1309,341
1302,364
1291,386
1280,407
1266,426
1251,445
1235,462
1219,478
1204,491
1184,507
1166,521
1158,531
1145,545
1145,552
1142,557
1142,566
1136,576
1127,585
1113,598
1099,611
1088,623
1074,633
1065,639
1041,656
1028,665
1011,674
999,679
982,696
950,713
938,720
915,736
892,747
869,757
843,766
823,774
795,779
766,784
742,788
715,791
692,791
666,789
648,789
619,788
587,785
565,781
541,777
515,769
489,761
475,756
454,746
436,735
417,723
401,709
386,697
374,684
360,669
347,655
330,636
319,621
306,605
289,585
277,567
273,556
270,525
274,513
276,507
284,493
291,479
301,461
315,449
341,435
369,420
397,414
424,402
438,398
460,389
496,385
526,383
552,380
575,377
598,376
624,376
650,375
671,373
689,371
723,366
752,363
779,358
805,352
830,344
853,340
868,338
890,334
913,330
945,324
963,322
991,322
1017,322
1042,323
1071,330
1090,333
1115,343
1136,352
1156,363
1176,378
1195,394
1211,412
1227,430
1240,449
1253,472
1262,491
1269,513
1275,532
1280,553
1284,573
1286,595
1287,615
1285,637
1283,657
1277,677
1271,698
1265,719
1256,744
1249,767
1243,785
1230,809
1220,827
1210,846
1201,866
1190,884
1173,905
1162,919
1140,937
1122,952
1100,959
1093,963
1066,964
1052,959
1030,951
1005,949
982,948
975,929
963,924
943,921
917,918
893,913
864,909
838,906
814,900
786,890
765,881
742,870
723,858
700,844
681,831
652,811
630,797
610,784
590,770
569,754
552,741
528,722
510,704
492,686
481,672
467,652
453,634
443,617
431,598
420,577
411,556
403,532
398,512
395,487
393,470
396,447
399,429
403,412
408,396
414,380
425,363
440,342
452,328
466,313
483,300
502,283
526,270
550,258
571,253
592,248
615,245
640,241
671,241
694,240
724,243
750,246
773,249
799,253
821,254
851,257
874,262
899,268
918,273
942,279
