369,767
359,753
345,736
339,724
322,702
311,685
303,669
289,651
285,634
271,612
274,596
280,576
282,562
287,548
293,534
296,525
306,504
310,490
321,472
335,453
345,437
360,414
373,392
383,378
394,358
403,340
413,316
419,296
428,275
430,253
436,234
441,210
445,193
448,172
454,159
452,167
463,183
462,192
477,199
487,205
510,208
523,210
557,216
579,224
603,231
621,238
642,247
662,258
678,267
696,281
712,294
727,305
745,321
761,336
778,353
790,368
805,390
816,404
827,420
838,434
